query_id,label_idf_only_hit@20,label_idf_only_recall@20,label_idf_only_mrr,candidate_union_hit@20,candidate_union_recall@20,candidate_union_mrr,candidate_union_no_prior_hit@20,candidate_union_no_prior_recall@20,candidate_union_no_prior_mrr,candidate_union_no_bm25_hit@20,candidate_union_no_bm25_recall@20,candidate_union_no_bm25_mrr,candidate_union_no_prior_no_bm25_hit@20,candidate_union_no_prior_no_bm25_recall@20,candidate_union_no_prior_no_bm25_mrr
eval_0002,1.0,1.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5
eval_0005,1.0,1.0,0.3333333333333333,1.0,1.0,0.09090909090909091,1.0,1.0,0.07692307692307693,1.0,1.0,1.0,1.0,1.0,1.0
eval_0006,1.0,1.0,0.2,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.5,1.0,1.0,0.2
eval_0007,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
eval_0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,1.0,0.3333333333333333
eval_0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5
eval_0010,0.0,0.0,0.0,1.0,0.5,0.25,1.0,0.5,0.16666666666666666,1.0,1.0,0.3333333333333333,1.0,1.0,0.25
eval_0011,1.0,1.0,0.25,1.0,1.0,0.3333333333333333,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0
eval_0012,1.0,1.0,0.0625,1.0,1.0,0.3333333333333333,1.0,1.0,0.14285714285714285,1.0,1.0,0.5,1.0,1.0,0.5
eval_0016,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.09090909090909091,1.0,1.0,0.058823529411764705,1.0,1.0,0.5
eval_0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,1.0,0.3333333333333333
eval_0019,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333
eval_0020,1.0,1.0,0.05555555555555555,1.0,1.0,0.125,1.0,1.0,0.1111111111111111,1.0,1.0,0.5,1.0,1.0,0.3333333333333333
eval_0021,1.0,1.0,0.08333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.08333333333333333,1.0,1.0,0.05
eval_0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0027,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333
eval_0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5
eval_0030,1.0,0.5,0.5,1.0,0.75,0.125,1.0,0.75,0.125,1.0,0.75,1.0,1.0,0.75,1.0
eval_0033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.5
eval_0034,1.0,0.5714285714285714,0.5,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
eval_0036,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
eval_0037,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.5,1.0,1.0,0.5
eval_0039,1.0,0.5,0.07142857142857142,1.0,0.5,0.05,1.0,1.0,0.16666666666666666,0.0,0.0,0.0,1.0,1.0,0.5
eval_0041,0.0,0.0,0.0,1.0,0.4,0.07142857142857142,1.0,0.4,0.125,1.0,0.8,1.0,1.0,1.0,1.0
eval_0042,1.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0
eval_0045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0047,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
eval_0048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5
eval_0049,1.0,0.3333333333333333,0.08333333333333333,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0
eval_0050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5
eval_0051,0.0,0.0,0.0,1.0,1.0,0.06666666666666667,1.0,1.0,0.08333333333333333,1.0,1.0,0.125,1.0,1.0,0.5
eval_0053,1.0,0.5,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.058823529411764705,1.0,1.0,0.5
eval_0054,1.0,0.5,0.07142857142857142,1.0,0.5,0.058823529411764705,1.0,0.5,0.14285714285714285,1.0,1.0,0.058823529411764705,1.0,1.0,0.5
eval_0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.125,1.0,1.0,0.5
eval_0057,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.5
