mode,query_id,recommended,relevant,candidate_union_size,disease,strict,symptom,bm25,dense,prior,precision@5,recall@5,hit@5,ndcg@5,precision@10,recall@10,hit@10,ndcg@10,precision@20,recall@20,hit@20,ndcg@20,mrr,stage_hit_disease,stage_hit_strict,stage_hit_symptom,stage_hit_bm25,stage_hit_dense,stage_hit_prior,stage_hit_union
label_idf_only,eval_0011,septra | cephalexin | septra ds | doxycycline | doxy 100 | clindamycin | vibramycin | minocycline | keflex | sulfamethoxazole / trimethoprim | bactrim ds | bactrim | smz-tmp ds | cerave sa renewing | meted | vestura | veltin | vanoxide-hc | chaparral | magnesium hydroxide,doxycycline | clindamycin | sulfamethoxazole / trimethoprim,420,273,273,420,1000,0,1000,0.2,0.3333333333333333,1.0,0.2192560461704936,0.3,1.0,1.0,0.49870795614091906,0.15,1.0,1.0,0.49870795614091906,0.25,1.0,1.0,1.0,1.0,0.0,1.0,1.0
label_idf_only,eval_0006,prednisolone | hydrocortisone | triamcinolone | calcium carbonate | ciprofloxacin | dexamethasone | prednisone | c1 esterase inhibitor (human) | locoid lipocream | capecitabine | lidex | levonorgestrel | levoleucovorin | kenalog-40 | busulfan | trace elements | lanadelumab | lotemax | kenalog | kalbitor,ciprofloxacin,1000,80,80,1000,1000,0,1000,0.2,1.0,1.0,0.38685280723454163,0.1,1.0,1.0,0.38685280723454163,0.05,1.0,1.0,0.38685280723454163,0.2,1.0,1.0,1.0,1.0,0.0,1.0,1.0
label_idf_only,eval_0009,ery-tab | vantin | cefprozil | ceftibuten | ceftin | ceftriaxone | cefuroxime | cefzil | umeclidinium | umeclidinium / vilanterol | uniphyl | maxair | maxair autohaler | medrol | cefixime | medrol dosepak | ciclesonide | ventolin | ventolin hfa | cilastatin / imipenem,prednisone,1000,221,221,1000,1000,0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
label_idf_only,eval_0016,ery pads | magnesium hydroxide | meted | vibramycin | vestura | veltin | vanoxide-hc | chaparral | cerave sa renewing | clindets | cephalexin | loryna | carboplatin | twyneo | loestrin fe 1 / 20 | loestrin 24 fe | claravis | clarifoam ef | clascoterone | cleanse & treat,isotretinoin | accutane | adapalene / benzoyl peroxide,726,273,273,726,1000,0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
label_idf_only,eval_0019,naprosyn | ibuprofen | triamcinolone | naproxen | flanax pain reliever | doxycycline | aleve | doxy 100 | cephalexin | septra ds | lidocaine | levofloxacin | levaquin | moxifloxacin | smz-tmp ds | oxybutynin | ciprofloxacin | cipro | sulfamethoxazole / trimethoprim | bactrim ds,naproxen | triamcinolone,273,273,273,273,1000,0,1000,0.4,1.0,1.0,0.5706417189553201,0.2,1.0,1.0,0.5706417189553201,0.1,1.0,1.0,0.5706417189553201,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,1.0,1.0
candidate_union,eval_0011,vibramycin | septra | sulfamethoxazole / trimethoprim | bactrim | clindamycin | doxy 100 | doxycycline | minocycline | bactrim ds | septra ds | cephalexin | keflex | smz-tmp ds | isotretinoin | accutane | adapalene / benzoyl peroxide | epiduo | benzoyl peroxide / clindamycin | phillips' milk of magnesia | claravis,doxycycline | clindamycin | sulfamethoxazole / trimethoprim,1000,273,273,420,1000,0,1000,0.4,0.6666666666666666,1.0,0.36664444053811357,0.3,1.0,1.0,0.5363433650638435,0.15,1.0,1.0,0.5363433650638435,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,1.0,1.0
candidate_union,eval_0006,hydrocortisone | dexamethasone | calcium carbonate | prednisone | triamcinolone | ciprofloxacin | prednisolone | omeprazole | esomeprazole | lansoprazole | mycophenolate mofetil | rabeprazole | pantoprazole | mesalamine | asacol | remicade | adalimumab | pentasa | humira | asacol hd,ciprofloxacin,1000,80,80,1000,1000,0,1000,0.0,0.0,0.0,0.0,0.1,1.0,1.0,0.3562071871080222,0.05,1.0,1.0,0.3562071871080222,0.16666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0
candidate_union,eval_0009,xopenex | levalbuterol | cinqair | aclidinium | ipratropium inhalation solution | yupelri | atrovent | revefenacin | reslizumab | symbicort | fluticasone / vilanterol | budesonide / formoterol | tudorza pressair | mepolizumab | nucala | umeclidinium / vilanterol | fasenra | dulera | formoterol / mometasone | atrovent hfa,prednisone,1000,221,221,1000,1000,0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
candidate_union,eval_0016,isotretinoin | accutane | adapalene / benzoyl peroxide | epiduo | benzoyl peroxide / clindamycin | vincristine | phillips' milk of magnesia | claravis | tretinoin | benzaclin | magnesium hydroxide | retin-a | clindamycin / tretinoin | aczone | duac | benzoyl peroxide / sulfur | onexton | azelaic acid | avita | benzefoam ultra,isotretinoin | accutane | adapalene / benzoyl peroxide,1000,273,273,726,1000,0,1000,0.6,1.0,1.0,1.0,0.3,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
candidate_union,eval_0019,flanax pain reliever | ibuprofen | naproxen | naprosyn | aleve | ditropan xl | doxycycline | triamcinolone | oxybutynin | lidocaine | doxy 100 | sulfamethoxazole / trimethoprim | sucralfate | bactrim ds | cephalexin | bactrim | moxifloxacin | avelox | septra ds | ciprofloxacin,naproxen | triamcinolone,1000,273,273,273,1000,0,1000,0.2,0.5,1.0,0.3065735963827292,0.2,1.0,1.0,0.5,0.1,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,1.0,1.0
