mode,query_id,recommended,relevant,candidate_union_size,disease,strict,symptom,bm25,dense,prior,precision@5,recall@5,hit@5,precision@10,recall@10,hit@10,precision@20,recall@20,hit@20,mrr,stage_hit_disease,stage_hit_strict,stage_hit_symptom,stage_hit_bm25,stage_hit_dense,stage_hit_prior,stage_hit_union
label_idf_only,half2_000001,abreva | narcan injection | niacinamide | nivolumab | nutraplus | oasis tears | ocular lubricant | opcon-a | oraqix | oxcarbazepine | pentothal | phenobarbital | picato | polatuzumab vedotin | pralatrexate | pramoxine / zinc acetate | prefrin | procarbazine | propofol | nelarabine,doxepin,1000,701,165,355,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
label_idf_only,half2_000002,prednisone | methotrexate | minocycline | dexamethasone | doxycycline | chloramphenicol | methoxsalen | trilafon | ultravate | ustekinumab | mebendazole | medotar | chlorpromazine | vectical | clobetasol | methylprednisolone | mg217 medicated tar | triamcinolone | clobex | clocortolone,fluocinonide_e,513,164,6,355,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
label_idf_only,half2_000003,ertaczo | ceftin | vinblastine | cleocin | cleocin hcl | metronidazole | clindamycin | micafungin | clioquinol | micon 7 | miconazole | voriconazole | clotrimazole | minocycline | colistimethate | mogamulizumab | xolegel | monistat 1-day or night combination pack | monistat 3-day combination pack | methotrexate,hydrocortisone_iodoquinol,355,160,160,355,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
label_idf_only,half2_000004,abreva | narcan injection | niacinamide | nivolumab | nutraplus | oasis tears | ocular lubricant | opcon-a | oraqix | oxcarbazepine | pentothal | phenobarbital | picato | polatuzumab vedotin | pralatrexate | pramoxine / zinc acetate | prefrin | procarbazine | propofol | nelarabine,itch_x_lotion,1000,701,165,355,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
label_idf_only,half2_000005,abreva | narcan injection | niacinamide | nivolumab | nutraplus | oasis tears | ocular lubricant | opcon-a | oraqix | oxcarbazepine | pentothal | phenobarbital | picato | polatuzumab vedotin | pralatrexate | pramoxine / zinc acetate | prefrin | procarbazine | propofol | nelarabine,nu_cort,1000,701,165,355,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
label_idf_only,half2_000006,cefuroxime | doxycycline | vibramycin | clindamycin | keflex | minocycline | sulfamethoxazole / trimethoprim | bactrim | smz-tmp ds | septra ds | septra | doxy 100 | bactrim ds | cephalexin | altabax | retapamulin | penicillin g potassium | cleocin hcl | metronidazole | micafungin,alcortin_a,619,425,161,355,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
label_idf_only,half2_000007,7t gummy es chewable tablets | conzip | combipatch | comirnaty | commit | compoz nighttime sleep aid | comtan | concept dha | concerta | condylox | conestat alfa | conivaptan | conjugated estrogens / medroxyprogesterone | constulose | contrave | cool 'n heat patch | corti-sav | copanlisib | copaxone | cope,aloe_polysaccharides_iodoquinol,1000,1000,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
label_idf_only,half2_000008,7t gummy es chewable tablets | conzip | combipatch | comirnaty | commit | compoz nighttime sleep aid | comtan | concept dha | concerta | condylox | conestat alfa | conivaptan | conjugated estrogens / medroxyprogesterone | constulose | contrave | cool 'n heat patch | corti-sav | copanlisib | copaxone | cope,aloe_vera_hydrocortisone_iodoquinol,1000,1000,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
label_idf_only,half2_000009,7t gummy es chewable tablets | conzip | combipatch | comirnaty | commit | compoz nighttime sleep aid | comtan | concept dha | concerta | condylox | conestat alfa | conivaptan | conjugated estrogens / medroxyprogesterone | constulose | contrave | cool 'n heat patch | corti-sav | copanlisib | copaxone | cope,aloquin,1000,1000,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
label_idf_only,half2_000010,7t gummy es chewable tablets | conzip | combipatch | comirnaty | commit | compoz nighttime sleep aid | comtan | concept dha | concerta | condylox | conestat alfa | conivaptan | conjugated estrogens / medroxyprogesterone | constulose | contrave | cool 'n heat patch | corti-sav | copanlisib | copaxone | cope,ammonium_lactate_halobetasol,1000,1000,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
label_idf_only,half2_000011,abreva | narcan injection | niacinamide | nivolumab | nutraplus | oasis tears | ocular lubricant | opcon-a | oraqix | oxcarbazepine | pentothal | phenobarbital | picato | polatuzumab vedotin | pralatrexate | pramoxine / zinc acetate | prefrin | procarbazine | propofol | nelarabine,ammonium_lactate_urea,1000,701,165,355,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
label_idf_only,half2_000012,pramosone | mometasone | compazine | amevive | thiothixene | thorazine | pentamidine | yusimry | tildrakizumab | amjevita | gengraf | cordran tape | ammonium lactate / halobetasol | brodalumab | perphenazine | topicort | bryhali | topicort lp | cosentyx | theraplex t,apexicon,164,164,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
label_idf_only,half2_000013,prednisone | methotrexate | minocycline | dexamethasone | doxycycline | chloramphenicol | methoxsalen | trilafon | ultravate | ustekinumab | mebendazole | medotar | chlorpromazine | vectical | clobetasol | methylprednisolone | mg217 medicated tar | triamcinolone | clobex | clocortolone,capex,888,164,164,888,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
label_idf_only,half2_000014,7t gummy es chewable tablets | conzip | combipatch | comirnaty | commit | compoz nighttime sleep aid | comtan | concept dha | concerta | condylox | conestat alfa | conivaptan | conjugated estrogens / medroxyprogesterone | constulose | contrave | cool 'n heat patch | corti-sav | copanlisib | copaxone | cope,carb_o_lac5,1000,1000,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
label_idf_only,half2_000015,7t gummy es chewable tablets | conzip | combipatch | comirnaty | commit | compoz nighttime sleep aid | comtan | concept dha | concerta | condylox | conestat alfa | conivaptan | conjugated estrogens / medroxyprogesterone | constulose | contrave | cool 'n heat patch | corti-sav | copanlisib | copaxone | cope,carb_o_lac_hp,1000,1000,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
label_idf_only,half2_000016,prednisone | doxycycline | minocycline | dexamethasone | chloramphenicol | methotrexate | ertaczo | clioquinol | cleocin | cleocin hcl | metronidazole | clindamycin | micafungin | miconazole | micon 7 | voriconazole | clotrimazole | colistimethate | mogamulizumab | xolegel,u_cort,513,318,160,355,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
