drug_name,active_ingredient,drug_classes,original_conditions
7t gummy es chewable tablets,acetaminophen,,Pain
a-g profen,ibuprofen,Nonsteroidal anti-inflammatory drugs,Osteoarthritis
abacavir,abacavir,Nucleoside reverse transcriptase inhibitors (NRTIs),AIDS/HIV|HIV Infection|Nonoccupational Exposure|Occupational Exposure
abaloparatide,abaloparatide,Parathyroid hormone and analogs,Osteoporosis
abatacept,abatacept,"Antirheumatics, Selective immunosuppressants",Juvenile Idiopathic Arthritis|Rheumatoid Arthritis
abilify,aripiprazole,Atypical antipsychotics,Agitated State|Autism|Bipolar Disorde|Bipolar Disorder|Borderline Personality Disorde|Depression|Major Depressive Disorde|Obsessive Compulsive Disorde|Post Traumatic Stress Disorde|Schizoaffective Disorde|Schizophrenia|Tourette's Syndrome
abilify maintena,aripiprazole,Atypical antipsychotics,Bipolar Disorder|Schizophrenia
abilify mycite,aripiprazole,Atypical antipsychotics,Bipolar Disorder
abreva,docosanol topical,Topical anti-infectives,Herpes|Herpes Simplex
absorica,isotretinoin,Miscellaneous uncategorized agents,Acne
absorica ld,isotretinoin,Miscellaneous uncategorized agents,Acne
accupril,quinapril,Angiotensin Converting Enzyme Inhibitors,Heart Failure|Hypertension
accutane,isotretinoin,"Miscellaneous antineoplastics, Miscellaneous uncategorized agents",Acne|Acute Nonlymphocytic Leukemia|Granuloma Annulare|Rosacea
acephen,acetaminophen,Miscellaneous analgesics,Pain
acetaminophen,acetaminophen,Miscellaneous analgesics,Chiari Malformation|Dengue Fever|Eustachian Tube Dysfunction|Fever|Muscle Pain|Neck Pain|Pain|Plantar Fasciitis|Sciatica|Transverse Myelitis|eve
acetohydroxamic acid,acetohydroxamic acid,Miscellaneous genitourinary tract agents,UTI|Urinary Tract Infection
acetoxyl,benzoyl peroxide,Topical acne agents,Acne
acid controller maximum strength,famotidine,H2 antagonists,GERD (Heartburn)
acid controller original strength,famotidine,H2 antagonists,GERD (Heartburn)
acid reducer maximum strength,famotidine,H2 antagonists,GERD (Heartburn)
aciphex,rabeprazole,Proton pump inhibitors,Barrett's Esophagus|Duodenal Ulce|Erosive Esophagitis|GERD|GERD (Heartburn)|Helicobacter Pylori Infection|Stomach Ulce
aciphex sprinkle,rabeprazole,,GERD (Heartburn)
acitretin,acitretin,Antipsoriatics,Pityriasis rubra pilaris|Psoriasis
aclasta,zoledronic acid,Bisphosphonates,Osteoporosis
aclidinium,aclidinium,Anticholinergic bronchodilators,"COPD|COPD, Maintenance"
acne-10,benzoyl peroxide,Topical acne agents,Acne
acne-clear,benzoyl peroxide topical,Topical acne agents,Acne
acnevir,salicylic acid topical,"Topical acne agents, Topical keratolytics",Acne
acnex,salicylic acid,"Topical acne agents, Topical keratolytics",Acne
acnomel acne mask,salicylic acid,"Topical acne agents, Topical keratolytics",Acne
acnomel bp 5,benzoyl peroxide,Topical acne agents,Acne
actamin,acetaminophen,Miscellaneous analgesics,Pain
actemra,tocilizumab,Interleukin inhibitors,Covid 19|Juvenile Idiopathic Arthritis|Rheumatoid Arthritis
acthar,corticotropin,Corticotropin,Allergies|Multiple Sclerosis|Rheumatoid Arthritis|Sarcoidosis
actiprofen,ibuprofen,Nonsteroidal anti-inflammatory drugs,Osteoarthritis
activase,alteplase,Thrombolytics,Stroke
activice,menthol topical,Topical rubefacient,Pain
actonel,risedronate,Bisphosphonates,Osteoporosis|Paget's Disease
actos,pioglitazone,Thiazolidinediones,"Diabetes (Type 2)|Diabetes, Type 2"
acyclovir,acyclovir,Purine nucleosides,"Cold Sores|Cold Sores (Herpes Simplex Labialis)|Herpes|Herpes Simplex|Herpes Simplex - Congenital|Herpes Simplex Encephalitis|Herpes Simplex, Mucocutaneous/Immunocompetent Host|Herpes Simplex, Mucocutaneous/Immunocompromised Host|Herpes Simplex, Suppression|Herpes Zoste|Herpes Zoster|Herpetic Keratitis|Infectious Mononucleosis|Mononucleosis|Not Listed / Othe|Ramsay Hunt Syndrome|Varicella-Zoster"
aczone,dapsone topical,Topical acne agents,Acne
adalat cc,nifedipine,Calcium channel blocking agents,High Blood Pressure|Hypertension
adalimumab,adalimumab,"Antirheumatics, TNF alfa inhibitors","Ankylosing Spondylitis|Behcet's Disease|Crohn's Disease|Crohn's Disease, Acute|Crohn's Disease, Maintenance|Hidradenitis Suppurativa|Juvenile Idiopathic Arthritis|Not Listed / Othe|Plaque Psoriasis|Psoriasis|Psoriatic Arthritis|Reiter's Syndrome|Rheumatoid Arthritis|Sarcoidosis|Spondyloarthritis|Ulcerative Colitis"
